Id,Number,Timestamp,Due date,,,Uniq items ordered,Amount excluding taxes (CAD),Amount including taxes (CAD),Status,Distribution mode,Delivery date,Delivery fees (CAD),Distance to pickup (km),Vendor organization id,,Buyer organization id,,Creator organization id,,Creator logged in
0Nsy9hFAWifutdJmyOlq,240828-6296,2024-08-29,2024-10-12,,,7,"212,2","212,2",completed,delivery,2024-08-30,,,OosAh6jwi62Cd5fvEZ8V,,fb1Cl9sP6ZsWEZyNVFMd,,fb1Cl9sP6ZsWEZyNVFMd,,TRUE
0OZEGkOEx2oJpCkUaxp8,PO-000062,2024-06-17,2021-11-05,,,1,60,60,completed,delivery,2021-10-22,,,4NK5HrGBRsSOuU6DBpXX,,2QlxH9jWsy4LjuM6JKKc,,,,FALSE
0p8nKKSSYFv8d4AH07y4,PO230713-8952,2024-06-17,2023-07-27,,,1,"32,4","32,4",completed,pickup,2023-07-13,,,5SbYMzADNTSypp3CHqdt,,,,5SbYMzADNTSypp3CHqdt,,TRUE
0Pf7GbOIcAK9wJrqDsTY,PO-000008,2024-06-17,2021-11-01,,,11,"204,45","204,45",completed,delivery,2021-10-20,0,,5bfmJqpmAAHRFyEckXDP,,4uZwmjgqxKbD6xFoxs4S,,,,FALSE
0Q4lqlIhj1JPyY9hHw33,PO240329-1048,2024-06-17,2024-04-12,,,3,514,"514,9",completed,delivery,2024-04-02,6,,5SbYMzADNTSypp3CHqdt,,kPR5gdiIWhU83HolpuPz,,kPR5gdiIWhU83HolpuPz,,TRUE
0QA9xMqWpzq3JBUQlJNp,PO231020-4696,2024-06-17,2023-11-02,,,3,"69,98","71,18",completed,delivery,2023-10-20,8,,5SbYMzADNTSypp3CHqdt,,lWu1YT8Eb2eB6c6f0CQy,,5SbYMzADNTSypp3CHqdt,,TRUE
0qJun0v7bf1WFVRO2VyV,PO-000005,2024-06-17,2021-12-15,,,4,"353,4","353,4",completed,delivery,2021-11-18,,,2fnE1XiuRG39yBo7yB9S,,,,,,FALSE
0qOVXanUFlk0txhkAzvw,PO240627-0144,2024-06-27,2024-07-11,,,2,180,180,completed,pickup,2024-06-28,,15,5SbYMzADNTSypp3CHqdt,,TTij3aVJEo1crZBTESoA,,TTij3aVJEo1crZBTESoA,,TRUE
0QS2g2bfsBPk27wS2dI7,230920-5720,2024-06-17,2023-10-20,,,12,"2059,5","2059,5",completed,delivery,2023-09-22,0,,OosAh6jwi62Cd5fvEZ8V,,4yrii8tdlmMFhSyH85dB,,OosAh6jwi62Cd5fvEZ8V,,TRUE
0QTiWVwqccV1FlaOqrUS,230811-7152,2024-06-17,2023-09-10,,,17,"953,4","953,4",completed,delivery,2023-08-16,0,,OosAh6jwi62Cd5fvEZ8V,,I7sAUmPGqeTGMkmaG3gH,,I7sAUmPGqeTGMkmaG3gH,,TRUE
0RAYCuc7Bg3EjRvY1kyW,PO-000028,2024-06-17,2022-01-05,,,4,165,165,completed,delivery,2021-12-09,,,2fnE1XiuRG39yBo7yB9S,,k7WDX6esUeJQsSLLYZXd,,,,FALSE
0Rhx8Okyqei8IgPqkJBC,PO220821-8672,2024-06-17,2022-09-04,,,13,"920,75","922,1",completed,delivery,2022-08-26,9,,5SbYMzADNTSypp3CHqdt,,6Ps1HcE0hJIXWi51Nkl3,,6Ps1HcE0hJIXWi51Nkl3,,TRUE
0rku48IYm99lJw0hWWLk,PO241021-8744,2025-01-20,2024-11-05,,,7,"251,63","251,63",completed,delivery,2024-10-24,0,,mCKuyiXCU4pxAzXeTLqY,,j7getC7lyjApyyljzxGl,,j7getC7lyjApyyljzxGl,,TRUE
0SL8d2DqFmj2J3DTDDwK,PO220714-5296,2024-06-17,2022-07-29,,,6,"177,75","177,75",completed,delivery,2022-07-21,0,,OosAh6jwi62Cd5fvEZ8V,,M6HsyHtBbU52nES1YTiz,,M6HsyHtBbU52nES1YTiz,,TRUE
0sZC2rRfU1yD0gdkXU0K,230929-8624,2024-06-17,2023-10-14,,,6,182,182,completed,delivery,2023-10-03,0,,OosAh6jwi62Cd5fvEZ8V,,,,,,FALSE
0uU9WRBR3tGLBazFqsfG,PO230709-3360,2024-06-17,2023-07-23,,,2,"90,8",92,completed,delivery,2023-07-14,8,,5SbYMzADNTSypp3CHqdt,,5t46Gd1zwnLUIjhUGPcw,,5t46Gd1zwnLUIjhUGPcw,,TRUE
0vBinSSFi3uqi26V9zCN,PO220530-0144,2024-06-17,2022-06-14,,,1,59,59,completed,delivery,2022-06-01,15,,5bfmJqpmAAHRFyEckXDP,,01vvuU5DBHzljemulhPS,,,,FALSE
0wbCGR6T1e6xSBU0LiJm,PO240715-6072,2024-07-17,2024-07-30,,,2,"79,14","79,14",completed,delivery,2024-07-17,0,,mCKuyiXCU4pxAzXeTLqY,,9RWVkV2q0IRLJTABMjbK,,9RWVkV2q0IRLJTABMjbK,,TRUE
