,,,unique_id,,org_cat,,,,,lang,region,sous-region,city,,,,province,country,timestamp_creation,,,,,,,,,,,,,,,,type
,,,HWuZdzj3OjDIWPSEpghA,,restaurant,,,,,fr,Montréal,Rosemont - La Petite-Patrie,Montréal,,,,Quebec,Canada,2021-10-20,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,zQjAIOpgr4E2yYgonL9V,,institution,,,,,fr,Montréal,Le Plateau-Mont-Royal,Montréal,,,,Quebec,Canada,2021-10-20,,,,,,,,,,,,,,,,Institution
,,,7HTSfd3YZzWByOZKGfRI,,institution,,,,,fr,Lanaudière,Montcalm,St-Esprit,,,,Quebec,Canada,2021-10-21,,,,,,,,,,,,,,,,Institution
,,,q1OfW2vOTAa16vzmcm8Z,,institution,,,,,fr,Lanaudière,Montcalm,St-Jacques,,,,Quebec,Canada,2021-10-21,,,,,,,,,,,,,,,,Institution
,,,AsepS3puucxhfc0FJAZj,,restaurant,,,,,fr,Estrie,Sherbrooke,Sherbrooke,,,,Quebec,Canada,2021-10-21,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,uESH8VwlmFhYlWio2Fba,,restaurant,,,,,fr,Montréal,Rosemont - La Petite-Patrie,Montréal,,,,Quebec,Canada,2021-10-22,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,rh74eB1zW221QcGp2Xpw,,restaurant,,,,,fr,Capitale-Nationale,Québec,quebec,,,,Quebec,Canada,2021-10-22,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,TJeRzQTYex56rm5FwMSz,,institution,,,,,fr,Montérégie,Les Maskoutains,La Présentation,,,,Quebec,Canada,2021-10-22,,,,,,,,,,,,,,,,Institution
,,,6frL4joi0hRbSgDXFbmy,,community_organization,,,,,fr,Montréal,Ahuntsic-Cartierville,Montréal,,,,Quebec,Canada,2021-10-25,,,,,,,,,,,,,,,,Organisme communautaire
,,,fb1Cl9sP6ZsWEZyNVFMd,,artisan,,,,,fr,Montréal,Rosemont - La Petite-Patrie,Montréal,,,,Quebec,Canada,2021-10-25,,,,,,,,,,,,,,,,Artisan ou transformateur
,,,1IPmNbRe0H46Rkk2DOqe,,artisan,,,,,fr,Montréal,Villeray - Saint-Michel - Parc-Extension,Montréal,,,,Quebec,Canada,2021-10-25,,,,,,,,,,,,,,,,Artisan ou transformateur
,,,dQuY05Zi1jFfNATfpVHn,,restaurant,,,,,fr,Montréal,Le Sud-Ouest,Montréal,,,,Quebec,Canada,2021-10-25,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,yppjxdp3KFM4Mqj3MKX5,,institution,,,,,fr,Centre-du-Québec,Arthabaska,Daveluyville,,,,Quebec,Canada,2021-10-25,,,,,,,,,,,,,,,,Institution
,,,1QxMOlkLOsx3cHbQlItk,,specialized_grocery_store,,,,,fr,Montréal,Rosemont - La Petite-Patrie,Montréal,,,,Quebec,Canada,2021-10-25,,,,,,,,,,,,,,,,Petite épicerie ou comptoir
,,,HDIaOYxbEx1hFEUg8mj5,,restaurant,,,,,fr,Montérégie,Longueuil,Boucherville,,,,Quebec,Canada,2021-10-25,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,HZ9djeqQUOuxwK3anWMP,,restaurant,,,,,fr,Montérégie,Vaudreuil-Soulanges,Vaudreuil-Dorion,,,,Quebec,Canada,2021-10-25,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,MtSsEfNlTkagUtHi1fTP,,artisan,,,,,fr,Capitale-Nationale,Québec,Quebec,,,,Quebec,Canada,2021-10-25,,,,,,,,,,,,,,,,Artisan ou transformateur
,,,qP2AjrnrBLiGBYDbN38W,,restaurant,,,,,fr,Capitale-Nationale,Portneuf,Deschambault,,,,Quebec,Canada,2021-10-25,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,vYO9wuW9M67jdn7Obhhi,,institution,,,,,fr,Saguenay--Lac-Saint-Jean,Saguenay,Chicoutimi,,,,Quebec,Canada,2021-10-25,,,,,,,,,,,,,,,,Institution
,,,bszYzbOgOq1qtywbQoJV,,restaurant,,,,,fr,Mauricie,Shawinigan,shawinigan,,,,Quebec,Canada,2021-10-25,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,hAMSyiVsMYYBmYQVbH7j,,community_organization,,,,,fr,Estrie,La Haute-Yamaska,waterloo,,,,Quebec,Canada,2021-10-25,,,,,,,,,,,,,,,,Organisme communautaire
,,,4XTONqKSxMgmZhPeQwgP,,restaurant,,,,,fr,Montréal,Le Plateau-Mont-Royal,Montréal,,,,Quebec,Canada,2021-10-25,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,UtuGfu4I6QZyyRwUEJWS,,institution,,,,,en,Montréal,Le Sud-Ouest,Montréal,,,,Quebec,Canada,2021-10-25,,,,,,,,,,,,,,,,Institution
,,,cSVdc5W8MnXoUvnnNqj9,,institution,,,,,fr,Montréal,Mercier - Hochelaga-Maisonneuve,Montréal,,,,Quebec,Canada,2021-10-25,,,,,,,,,,,,,,,,Institution
,,,G58WhpsgYj8zGM0iqGlK,,restaurant,,,,,fr,Montréal,Ville-Marie,Montréal,,,,Quebec,Canada,2021-10-26,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,IJM13VNZHJ62QAxV82sN,,restaurant,,,,,en,Montréal,Rosemont - La Petite-Patrie,Montréal,,,,Quebec,Canada,2021-10-26,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,cUBuMasn3rQdMh2aGwAl,,restaurant,,,,,fr,Montréal,Mercier - Hochelaga-Maisonneuve,Montréal,,,,Quebec,Canada,2021-10-26,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,dymhGhogohqMdUOmXaI6,,institution,,,,,fr,Montérégie,Longueuil,Saint-hubert,,,,Quebec,Canada,2021-10-26,,,,,,,,,,,,,,,,Institution
,,,4KfSV5EDPbYnqTM7lBJ6,,artisan,,,,,fr,Montréal,Villeray - Saint-Michel - Parc-Extension,Montréal,,,,Quebec,Canada,2021-10-26,,,,,,,,,,,,,,,,Artisan ou transformateur
,,,IV5hklHLceJVUAl8mo1W,,restaurant,,,,,fr,Montréal,Ville-Marie,Montréal,,,,Quebec,Canada,2021-10-26,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,vjIluqwEFnNjiNyA9brg,,restaurant,,,,,fr,Saguenay--Lac-Saint-Jean,Lac-Saint-Jean-Est,Alma,,,,Quebec,Canada,2021-10-27,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,GAsI0bWYBtzDXRDUcoo1,,institution,,,,,fr,Montréal,Le Plateau-Mont-Royal,Montréal,,,,Quebec,Canada,2021-10-29,,,,,,,,,,,,,,,,Institution
,,,NBYQks39gg4UC3cIyqj5,,institution,,,,,fr,Montréal,Le Sud-Ouest,Montréal,,,,Quebec,Canada,2021-10-29,,,,,,,,,,,,,,,,Institution
,,,3ZCzpWm3PYb2bUZsDjej,,institution,,,,,fr,Montréal,Rosemont - La Petite-Patrie,Montréal,,,,Quebec,Canada,2021-10-29,,,,,,,,,,,,,,,,Institution
,,,cMYoIu3xySmRSuZx5SKy,,restaurant,,,,,fr,Montréal,Ville-Marie,Montréal,,,,Quebec,Canada,2021-10-30,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,Rl8wNvg1cVbFvUl6JOrT,,institution,,,,,fr,Montérégie,Roussillon,Sainte-Catherine,,,,Quebec,Canada,2021-11-01,,,,,,,,,,,,,,,,Institution
,,,5KShOE1wi0TRptyaO6C8,,institution,,,,,fr,Capitale-Nationale,Charlevoix-Est,Clermont,,,,Quebec,Canada,2021-11-01,,,,,,,,,,,,,,,,Institution
,,,RGTBcHSE0pi5VaYaW0A5,,institution,,,,,fr,Laurentides,Thérèse-De Blainville,Blainville,,,,Quebec,Canada,2021-11-01,,,,,,,,,,,,,,,,Institution
,,,bUUqJC9JiwjRvgn9nA9n,,institution,,,,,fr,Lanaudière,Joliette,Joliette,,,,Quebec,Canada,2021-11-01,,,,,,,,,,,,,,,,Institution
,,,yYtUf3OZm0od6CdSsmeD,,institution,,,,,fr,Lanaudière,Montcalm,St-Lin,,,,Quebec,Canada,2021-11-01,,,,,,,,,,,,,,,,Institution
