,,,unique_id,,org_cat,,,,,lang,region,sous-region,city,,,,province,country,timestamp_creation
,,,0ZTBOJhMDZ1XRAbGQ58I,,consumer,,,,,en,Montréal,Le Sud-Ouest,Montreal,,,,Quebec,Canada,2022-11-09
,,,HxxHbk5alNE5QeDwfGqM,,consumer,,,,,fr,Lanaudière,Matawinie,St-Donat,,,,Quebec,Canada,2022-11-09
,,,IjMkAcWJisOwEeZjgqTx,,consumer,,,,,en,Montréal,Ahuntsic-Cartierville,Montréal,,,,Quebec,Canada,2022-11-09
,,,VE2ZLWb0zyODk3IW4CIR,,consumer,,,,,en,Laval,Laval,Laval,,,,Quebec,Canada,2022-11-09
,,,ar6CuuyRN7u6dtTCV5Lu,,consumer,,,,,fr,Montérégie,Le Haut-Richelieu,Saint-Jean-sur-Richelieu,,,,Quebec,Canada,2022-11-09
,,,bSR0cL8OjSPcBzMk4tjj,,consumer,,,,,fr,Montréal,Saint-Laurent,Montreal (Ville St-Laurent),,,,Quebec,Canada,2022-11-09
,,,inXM7VxMiBXM1bcMVwNQ,,consumer,,,,,fr,Montréal,Villeray - Saint-Michel - Parc-Extension,Montréal,,,,Quebec,Canada,2022-11-09
,,,m5p70GCHTq3r3S2vqv2e,,consumer,,,,,fr,Montréal,Côte-des-Neiges - Notre-Dame-de-Grâce,Montréal,,,,Quebec,Canada,2022-11-09
,,,t22kezjmtO55d1GPoAsF,,consumer,,,,,fr,Saguenay--Lac-Saint-Jean,Le Fjord-du-Saguenay,st-charles-de-bourget,,,,Quebec,Canada,2022-11-09
,,,5GAXLVIyUXB5LI7gqxXL,,consumer,,,,,fr,Montérégie,Marguerite-D'Youville,Contrecoeur,,,,Quebec,Canada,2022-11-10
,,,JT84H5akDOc1rLNff7aT,,consumer,,,,,en,Estrie,Brome-Missisquoi,Lac Brome,,,,Quebec,Canada,2022-11-15
,,,QPDtaVXbBe2R8h8dKaRs,,consumer,,,,,fr,Montréal,Mercier - Hochelaga-Maisonneuve,Montréal,,,,Quebec,Canada,2022-11-16
,,,38yu6IlXJjbFgbDGurML,,consumer,,,,,fr,Montréal,Ahuntsic-Cartierville,Montréal,,,,Quebec,Canada,2022-11-17
,,,4xmm4FL5sOVkZncf8GA9,,consumer,,,,,fr,Laval,Laval,Laval,,,,Quebec,Canada,2022-11-17
,,,7HstdBGDw5F7azdCXMwH,,consumer,,,,,fr,Lanaudière,Les Moulins,Terrebonne,,,,Quebec,Canada,2022-11-17
,,,97vOtRrairwr6nr5OrXQ,,consumer,,,,,fr,Montérégie,Vaudreuil-Soulanges,Notre dame de l'il perrot,,,,Quebec,Canada,2022-11-17
,,,CbWtoBcOXW2cW6L1w2Z0,,consumer,,,,,fr,Laval,Laval,Laval,,,,Quebec,Canada,2022-11-17
,,,Cya8DHibDdFdSqRCopQx,,consumer,,,,,fr,Chaudière-Appalaches,Lévis,Lévis,,,,Quebec,Canada,2022-11-17
,,,D39a4dkhfI5HXfBR8tt3,,consumer,,,,,fr,Laval,Laval,Laval,,,,Quebec,Canada,2022-11-17
,,,DyfjPZmeRZqMY1oTaIMm,,consumer,,,,,fr,Estrie,Memphrémagog,Magog,,,,Quebec,Canada,2022-11-17
,,,EY1vHWl4DM99LAZINxQ7,,consumer,,,,,fr,Lanaudière,Montcalm,St-Lin,,,,Quebec,Canada,2022-11-17
,,,EeFc9JWH2TymGN3V4Qzo,,consumer,,,,,fr,Laurentides,La Rivière-du-Nord,St-jerome,,,,Quebec,Canada,2022-11-17
,,,K4pzchfg5l1p6GdlYjkq,,consumer,,,,,fr,Laval,Laval,Laval,,,,Quebec,Canada,2022-11-17
,,,KLpGVcB4bILnSGLbAKs6,,consumer,,,,,fr,Laurentides,La Rivière-du-Nord,St-Jerome,,,,Quebec,Canada,2022-11-17
,,,OpezVxBRmQI38wkYxvB4,,consumer,,,,,fr,Laval,Laval,Laval,,,,Quebec,Canada,2022-11-17
,,,PjsPHGKXpi6xKKCySYBR,,consumer,,,,,fr,Montréal,Montréal-Est,Montréal-Est,,,,Quebec,Canada,2022-11-17
,,,RFo5weRaqXk3OEkLKvoj,,consumer,,,,,fr,Laurentides,Thérèse-De Blainville,Boisbriand,,,,Quebec,Canada,2022-11-17
,,,RtJXoH1QTNZTw7Eb04n3,,consumer,,,,,fr,Laval,Laval,Laval,,,,Quebec,Canada,2022-11-17
,,,Te213gWLjzyV0qcVb3YL,,consumer,,,,,fr,Laurentides,Deux-Montagnes,St eustache,,,,Quebec,Canada,2022-11-17
,,,U7ZIbP9ACPEpkgLBAKeL,,consumer,,,,,fr,Montréal,Rivière-des-Prairies - Pointe-aux-Trembles,Montréal,,,,Quebec,Canada,2022-11-17
,,,W86qN8hPRznYggYJUK2b,,consumer,,,,,fr,Laval,Laval,Laval,,,,Quebec,Canada,2022-11-17
,,,WemnXePwpDNXaztqaTda,,consumer,,,,,fr,Lanaudière,Les Moulins,Terrebonne,,,,Quebec,Canada,2022-11-17
,,,XEkRZZMjbNe7DDU8RUl2,,consumer,,,,,en,Laval,Laval,Laval,,,,Quebec,Canada,2022-11-17
,,,XHfrVsI16wJ6BnSZralO,,consumer,,,,,fr,Laval,Laval,Laval,,,,Quebec,Canada,2022-11-17
,,,ZlTMVG9BWKjM7eYCIftj,,consumer,,,,,fr,Centre-du-Québec,Arthabaska,Victoriaville,,,,Quebec,Canada,2022-11-17
,,,awGeLpyPfJx0CktpoEEc,,consumer,,,,,fr,Centre-du-Québec,Drummond,Drummondville,,,,Quebec,Canada,2022-11-17
,,,fLT05HcP8SypTHfUY5PA,,consumer,,,,,fr,Laurentides,La Rivière-du-Nord,Sainte-Sophie,,,,Quebec,Canada,2022-11-17
,,,fy2N2fOH8b9OK3H8lif2,,consumer,,,,,fr,Montréal,LÎle-Bizard - Sainte-Geneviève,ILE BIZARD,,,,Quebec,Canada,2022-11-17
,,,mh7I9CFYd3ycFQUvWqrO,,consumer,,,,,fr,Estrie,Memphrémagog,Ste-Catherine-de-Hatley,,,,Quebec,Canada,2022-11-17
,,,mwbBbQv4eu0yBUhVJIEl,,consumer,,,,,fr,Laval,Laval,Laval,,,,Quebec,Canada,2022-11-17
,,,nARwA5AXJ7glGPLDkYoI,,consumer,,,,,fr,Laurentides,Mirabel,Mirabel,,,,Quebec,Canada,2022-11-17
,,,p9dkJ9vEyNs4BXufsXVE,,consumer,,,,,en,Laurentides,Mirabel,Mirabel,,,,Quebec,Canada,2022-11-17
,,,pTuZGfM2QihpbVlqLZey,,consumer,,,,,fr,Montérégie,Roussillon,Chateauguay,,,,Quebec,Canada,2022-11-17
,,,qIOQIManDyDUEAGqqvhN,,consumer,,,,,fr,Montréal,Laval,Laval,,,,Quebec,Canada,2022-11-17
,,,rRdYTGRExhJIzNSmHZj4,,consumer,,,,,en,Montréal,Lachine,Lachine,,,,Quebec,Canada,2022-11-17
,,,sY95yvmx7erhAwfW7FwF,,consumer,,,,,fr,Montréal,Mercier - Hochelaga-Maisonneuve,Montreal,,,,Quebec,Canada,2022-11-17
,,,t3cEgl33LmRlDaqP6ypE,,consumer,,,,,fr,Montréal,Ahuntsic-Cartierville,Montreal,,,,Quebec,Canada,2022-11-17
,,,unjbDiJ18zlyUxmn0Yfn,,consumer,,,,,fr,Laval,Laval,Laval,,,,Quebec,Canada,2022-11-17
,,,wM55x3fj6LIxjYEMjk5e,,consumer,,,,,en,Laval,Laval,Laval,,,,Quebec,Canada,2022-11-17
,,,xVzifb3guh0TBHr3GhZS,,consumer,,,,,fr,Laval,Laval,Laval,,,,Quebec,Canada,2022-11-17
,,,y3d9UqBkovSJCOjgqZwk,,consumer,,,,,fr,Laurentides,Mirabel,Mirabel,,,,Quebec,Canada,2022-11-17
,,,yt6VQocZW5zxyJlUguh5,,consumer,,,,,fr,Laval,Laval,Laval,,,,Quebec,Canada,2022-11-17
,,,zKsV0LPxc9sUzvPyJKH7,,consumer,,,,,fr,Laval,Laval,Laval,,,,Quebec,Canada,2022-11-17
,,,zn0X1ZqChFQLLef2c8kK,,consumer,,,,,fr,Montréal,Mercier - Hochelaga-Maisonneuve,Montréal,,,,Quebec,Canada,2022-11-17
,,,FpxBMelF3zvFNktnBaWU,,consumer,,,,,fr,Abitibi-Témiscamingue,,La Sarre,,,,Quebec,Canada,2022-11-19
,,,GX7LVQ4ZxjwrmVhmvmxI,,consumer,,,,,fr,Montérégie,Marguerite-D'Youville,Varennes,,,,Quebec,Canada,2022-11-19
,,,aVa6NUHL9QFIkkrFO6Zl,,consumer,,,,,en,Laval,Laval,Laval,,,,Quebec,Canada,2022-11-19
