Id,Number,Timestamp,Due date,,,Uniq items ordered,Amount excluding taxes (CAD),Amount including taxes (CAD),Status,Distribution mode,Delivery date,Delivery fees (CAD),Distance to pickup (km),Vendor organization id,,Buyer organization id,,Creator organization id,,Creator logged in
oshEVoBWDDhBIiYS66z3,PO-000030,2024-06-17,2021-11-24,,,7,"103,15","103,15",completed,delivery,2021-11-19,10,,De0LQFAAw6JiFjMTbVuV,,G58WhpsgYj8zGM0iqGlK,,,,FALSE
edi4tK8fg0qQvPEuQ1Xm,PO-000002,2024-06-17,2021-11-30,,,5,"132,9","132,9",completed,delivery,2021-11-24,,,1QEz84NbcXp0r7dHxH59,,bh84nWsl3E2DxVn6raBO,,,,FALSE
gnoEM3i1kIojRdaq0nu7,PO-000032,2024-06-17,2021-11-30,,,10,160,160,completed,delivery,2021-11-19,,,De0LQFAAw6JiFjMTbVuV,,G58WhpsgYj8zGM0iqGlK,,,,FALSE
JMjwcA5vHGW23UTdCfSZ,PO-000033,2024-06-17,2021-12-01,,,8,"365,94","365,94",completed,delivery,2021-11-26,,,De0LQFAAw6JiFjMTbVuV,,jMnGfBkwn6XFacanPWbO,,,,FALSE
OMMCwJpTWWLchMTrL5x3,PO-000034,2024-06-17,2021-12-06,,,6,"580,28","580,28",completed,delivery,2021-11-26,,,De0LQFAAw6JiFjMTbVuV,,kPR5gdiIWhU83HolpuPz,,,,FALSE
9HfLj4QoZ7GkLMXgZw2e,PO-000003,2024-06-17,2021-12-07,,,6,"96,75","96,75",completed,delivery,2021-11-24,,,1QEz84NbcXp0r7dHxH59,,bh84nWsl3E2DxVn6raBO,,,,FALSE
Pu7kO8XH1rQcoyNC1Dlp,PO-000036,2024-06-17,2021-12-07,,,6,"119,5","119,5",completed,delivery,2021-11-26,10,,De0LQFAAw6JiFjMTbVuV,,G58WhpsgYj8zGM0iqGlK,,,,FALSE
JCviqS2aRM67Dv1lDIDs,PO-000003,2024-06-17,2021-12-14,,,11,"53,15","53,15",completed,pickup,2021-11-30,,,cMU8oxxvoIYn85Ok0nIa,,,,,,FALSE
ZSI12unxywmMsxdoqAvx,PO-000009,2024-06-17,2021-12-14,,,1,170,170,completed,delivery,2021-12-08,5,,BRaPGSah16nZ70FOSgPv,,4uZwmjgqxKbD6xFoxs4S,,,,FALSE
bJ2dfczhSklZo1nNgEJY,PO-000038,2024-06-17,2021-12-14,,,1,200,200,completed,delivery,2021-12-03,,,De0LQFAAw6JiFjMTbVuV,,3Bp3hrg2a0RX8Mqo6Cj0,,,,FALSE
wfXmhHx6hwP0hc5deMsp,PO-000037,2024-06-17,2021-12-14,,,4,"179,9","179,9",completed,delivery,2021-12-03,5,,De0LQFAAw6JiFjMTbVuV,,kPR5gdiIWhU83HolpuPz,,,,FALSE
WqQMUKqiRPYZg1HXLSIl,PO-000004,2024-06-17,2021-12-15,,,7,"205,75","205,75",completed,delivery,2021-12-08,,,1QEz84NbcXp0r7dHxH59,,bh84nWsl3E2DxVn6raBO,,,,FALSE
