Id,Number,Timestamp,Due date,,,Uniq items ordered,Amount excluding taxes (CAD),Amount including taxes (CAD),Status,Distribution mode,Delivery date,Delivery fees (CAD),Distance to pickup (km),Vendor organization id,,Buyer organization id,,Creator organization id,,Creator logged in
VzQShl7a4YIFU2hu7h1q,PO-000009,2024-06-17,2021-07-22,,,7,185,185,completed,delivery,2021-06-24,,,2fnE1XiuRG39yBo7yB9S,,vGSixjnbVBtgxC8te5QW,,,,FALSE
YiNMPWqsFmFbRoIvJa25,PO-000007,2024-06-17,2021-07-22,,,10,"222,75","222,75",completed,delivery,2021-06-24,,,2fnE1XiuRG39yBo7yB9S,,VUBkWAvqyYfQ660odGl9,,,,FALSE
o7oXN6arjvoO8ubvp7SS,PO-000006,2024-06-17,2021-07-21,,,3,100,100,completed,delivery,2021-06-24,10,,2fnE1XiuRG39yBo7yB9S,,hwYyuJ1eoz6b5XBfYGyb,,,,FALSE
w8xWaM8EbwOl72V5PN2i,PO-000014,2024-06-17,2021-07-06,,,1,300,300,completed,delivery,2021-06-25,,,4NK5HrGBRsSOuU6DBpXX,,,,,,FALSE
CS6mSX9AEsS5xyOU57Mg,PO-000002,2024-06-17,2021-07-06,,,9,"495,5","495,5",completed,delivery,2021-06-29,0,,p1psRZymrskOdudLEvMT,,,,,,FALSE
j5iED9nx0zqiNYoWFLoy,PO-000003,2024-06-17,2021-07-08,,,8,"401,32","401,32",completed,delivery,2021-06-29,0,,p1psRZymrskOdudLEvMT,,Sq5WRskwvc5HrF87Ecqx,,,,FALSE
BGpvtPjqHEoKlnsBb563,PO-000006,2024-06-17,2021-07-07,,,4,"321,84","359,25",completed,delivery,2021-06-30,0,,xNtjzzMTE4Jfvrml7yaw,,Qu3KoUaTnt3VdQ999iri,,,,FALSE
GO0O8Tei5ZJUIEyRWNd6,PO-000016,2024-06-17,2021-06-28,,,5,"127,5","127,5",completed,delivery,2021-06-30,,,96WfyBWlY4LIxh97AbYd,,wRymF2HMwVQEoJuDSred,,,,FALSE
PQPbRKTKxfKbm4iYEgCN,PO-000005,2024-06-17,2021-06-09,,,2,"130,8","144,1",completed,delivery,2021-06-30,0,,xNtjzzMTE4Jfvrml7yaw,,zaQMedS8dsWUZ5nfyg97,,,,FALSE
a7NeRUcWWyRbXWuFgaif,PO-000018,2024-06-17,2021-07-29,,,1,84,84,completed,delivery,2021-06-30,,,96WfyBWlY4LIxh97AbYd,,,,,,FALSE
biTZZXKYkRHl4BVbQqCq,PO-000017,2024-06-17,2021-07-29,,,5,"107,5","107,5",completed,delivery,2021-06-30,,,96WfyBWlY4LIxh97AbYd,,,,,,FALSE
Bz42uLgSPLFU6w6MX6Ga,PO-000007,2024-06-17,2021-07-07,,,4,"205,26","216,01",completed,delivery,2021-07-01,0,,xNtjzzMTE4Jfvrml7yaw,,dUyhWhwpMUpHfTDsEUus,,,,FALSE
CTYDVNdKqBOm93NP69iH,PO-000014,2024-06-17,2021-07-28,,,7,162,162,completed,delivery,2021-07-01,,,2fnE1XiuRG39yBo7yB9S,,9NjpBTaghK5cWph9I1IC,,,,FALSE
KvJMsV8pPmSclFCWc4CY,PO-000016,2024-06-17,2021-07-28,,,11,"275,75","275,75",completed,delivery,2021-07-01,,,2fnE1XiuRG39yBo7yB9S,,y8wifilUDIxGFzk61Inf,,,,FALSE
SIzXJxbi7IKpWde0BUKh,PO-000019,2024-06-17,2021-07-29,,,6,"108,75","108,75",completed,delivery,2021-07-01,10,,2fnE1XiuRG39yBo7yB9S,,oDCFwea8QrhbYhHOuwY6,,,,FALSE
TSRec08c0F5tvsEUn4gA,PO-000018,2024-06-17,2021-07-29,,,11,"266,25","266,25",completed,delivery,2021-07-01,,,2fnE1XiuRG39yBo7yB9S,,vGSixjnbVBtgxC8te5QW,,,,FALSE
V6ABF3o85dWiqseOn3LB,PO-000017,2024-06-17,2021-07-28,,,4,"69,75","69,75",completed,delivery,2021-07-01,10,,2fnE1XiuRG39yBo7yB9S,,5F8gXCfsAyEcGv7NV8U8,,,,FALSE
YKwCExpwCnncaT0echTz,PO-000020,2024-06-17,2021-07-29,,,13,"299,5","299,5",completed,delivery,2021-07-01,,,2fnE1XiuRG39yBo7yB9S,,,,,,FALSE
d4bCGvuMntPti2eBpYfF,PO-000017,2024-06-17,2021-07-28,,,3,198,198,completed,delivery,2021-07-01,,,2fnE1XiuRG39yBo7yB9S,,hwYyuJ1eoz6b5XBfYGyb,,,,FALSE
dePKmxtF1UkCkUNbLO2B,PO-000012,2024-06-17,2021-07-28,,,4,"170,5","170,5",completed,delivery,2021-07-01,,,2fnE1XiuRG39yBo7yB9S,,,,,,FALSE
hqSpZORlAuP04pN3eeYr,PO-000010,2024-06-17,2021-07-23,,,10,"207,25","207,25",completed,delivery,2021-07-01,,,2fnE1XiuRG39yBo7yB9S,,y8wifilUDIxGFzk61Inf,,,,FALSE
k4teRIfSctE2nCy1FQTX,PO-000018,2024-06-17,2021-07-28,,,4,88,88,completed,delivery,2021-07-01,10,,2fnE1XiuRG39yBo7yB9S,,u8rVDLbbElpqzwLlV7JF,,,,FALSE
lMU5TaZnQyz4CJbMu27y,PO-000013,2024-06-17,2021-07-28,,,7,176,176,completed,delivery,2021-07-01,,,2fnE1XiuRG39yBo7yB9S,,VUBkWAvqyYfQ660odGl9,,,,FALSE
mC0XK8wkoeaxYjTVXkgw,PO-000011,2024-06-17,2021-07-28,,,8,"245,75","245,75",completed,delivery,2021-07-01,,,2fnE1XiuRG39yBo7yB9S,,,,,,FALSE
uDzfsaqBK3gTX3XsN31y,PO-000015,2024-06-17,2021-07-28,,,6,"151,75","151,75",completed,delivery,2021-07-01,,,2fnE1XiuRG39yBo7yB9S,,3N6wNZs7BBGG28z4ax1b,,,,FALSE
ZFa71ggKtr5qnODH9622,PO-000001,2024-06-17,2021-06-28,,,2,241,241,completed,delivery,2021-07-02,25,,awSCzGH4um0ty854qtOO,,wRymF2HMwVQEoJuDSred,,,,FALSE
X1j08zX7z6U7ZjsjhgVp,PO-000004,2024-06-17,2021-07-12,,,9,"683,44","683,44",completed,delivery,2021-07-06,0,,p1psRZymrskOdudLEvMT,,,,,,FALSE
lRyjLeYUnwKzSJwL6206,PO-000020,2024-06-17,2021-07-17,,,1,180,180,completed,delivery,2021-07-06,,,4NK5HrGBRsSOuU6DBpXX,,,,,,FALSE
Ynm7PoBIQd9CwgG0rb37,PO-000022,2024-06-17,2021-08-05,,,5,117,117,completed,delivery,2021-07-07,,,96WfyBWlY4LIxh97AbYd,,bjIzI3whOtyyZi4FX8pf,,,,FALSE
niRh3SiF9uTxjapC4ZDv,PO-000019,2024-06-17,2021-07-15,,,1,420,420,completed,delivery,2021-07-07,,,96WfyBWlY4LIxh97AbYd,,tEqFimdVGi21Z2J313l1,,,,FALSE
nou6ecK6eMqTr5jvsIpp,PO-000021,2024-06-17,2021-08-04,,,11,"344,5","344,5",completed,delivery,2021-07-07,,,96WfyBWlY4LIxh97AbYd,,,,,,FALSE
2v6XqMWaiGndoLAt9TEi,PO-000020,2024-06-17,2021-07-31,,,3,"87,5","87,5",completed,delivery,2021-07-08,10,,2fnE1XiuRG39yBo7yB9S,,vGSixjnbVBtgxC8te5QW,,,,FALSE
4HCUq7cu2vTUQQQ2MvTP,PO-000029,2024-06-17,2021-08-05,,,14,"287,36","287,36",completed,delivery,2021-07-08,,,2fnE1XiuRG39yBo7yB9S,,vGSixjnbVBtgxC8te5QW,,,,FALSE
GfOVVzZVj9AmhVqFrb4i,PO-000021,2024-06-17,2021-08-04,,,8,"322,52","322,52",completed,delivery,2021-07-08,,,2fnE1XiuRG39yBo7yB9S,,K8CnpBgvBdcsNzKsocDp,,,,FALSE
KniqyMpu2Tnv7BqDmsb3,PO-000026,2024-06-17,2021-08-04,,,3,"192,5","192,5",completed,delivery,2021-07-08,,,2fnE1XiuRG39yBo7yB9S,,hwYyuJ1eoz6b5XBfYGyb,,,,FALSE
TatmIC9uCCzdlj9MRKJh,PO-000022,2024-06-17,2021-08-04,,,8,154,154,completed,delivery,2021-07-08,,,2fnE1XiuRG39yBo7yB9S,,5F8gXCfsAyEcGv7NV8U8,,,,FALSE
TlRbPJ9J6jVQWRSoR7jR,PO-000025,2024-06-17,2021-08-04,,,5,74,74,completed,delivery,2021-07-08,10,,2fnE1XiuRG39yBo7yB9S,,cGQkbhs4f8oJ0BlF9HDI,,,,FALSE
d0ITBIQvBVrHK7RviyID,PO-000028,2024-06-17,2021-08-05,,,10,"243,5","243,5",completed,delivery,2021-07-08,,,2fnE1XiuRG39yBo7yB9S,,,,,,FALSE
ilZraNpkpFZI2G5r8XZc,PO-000030,2024-06-17,2021-08-05,,,13,"279,75","279,75",completed,delivery,2021-07-08,,,2fnE1XiuRG39yBo7yB9S,,y8wifilUDIxGFzk61Inf,,,,FALSE
k8MqcYrLWrAMp6p2eVLG,PO-000024,2024-06-17,2021-08-04,,,7,"152,75","152,75",completed,delivery,2021-07-08,10,,2fnE1XiuRG39yBo7yB9S,,9NjpBTaghK5cWph9I1IC,,,,FALSE
pkQZIB0BRxXkdtWXZw1z,PO-000027,2024-06-17,2021-08-05,,,5,"99,75","99,75",completed,delivery,2021-07-08,10,,2fnE1XiuRG39yBo7yB9S,,VUBkWAvqyYfQ660odGl9,,,,FALSE
vNWShq0eqoASgrzwHmJi,PO-000023,2024-06-17,2021-08-04,,,4,"166,25","166,25",completed,delivery,2021-07-08,,,2fnE1XiuRG39yBo7yB9S,,,,,,FALSE
Nk1c3WHyXQPGOye7Txf7,PO-000021,2024-06-17,2021-07-30,,,1,300,300,completed,delivery,2021-07-13,,,4NK5HrGBRsSOuU6DBpXX,,bh84nWsl3E2DxVn6raBO,,,,FALSE
vBQUXsH51bGkqz5UVRJh,PO-000023,2024-06-17,2021-08-12,,,2,68,68,completed,delivery,2021-07-13,,,4NK5HrGBRsSOuU6DBpXX,,Hf68LT9VWlD13M0uSDZX,,,,FALSE
2A99CDaWuqFYhNNLHPtT,PO-000039,2024-06-17,2021-08-11,,,4,156,156,completed,delivery,2021-07-15,,,2fnE1XiuRG39yBo7yB9S,,sTcEoGugl7Sqn0kYqSAZ,,,,FALSE
