Id,Number,Timestamp,Due date,,,Uniq items ordered,Amount excluding taxes (CAD),Amount including taxes (CAD),Status,Distribution mode,Delivery date,Delivery fees (CAD),Distance to pickup (km),Vendor organization id,,Buyer organization id,,Creator organization id,,Creator logged in
HHxaAXolrmt7gP7vmVp3,PO230306-5672,2024-06-17,2023-03-21,,,8,"321,2","321,2",cancelledByVendor,delivery,2023-03-09,0,,KQHvMD1fQ7jPyrC5nWsK,,wff3QDbtmySxiUgQiaR3,,wff3QDbtmySxiUgQiaR3,,TRUE
HSxBET0puR6PzkeWIx1A,PO230618-2688,2024-06-17,2023-07-03,,,1,"11,25","12,19",cancelledByVendor,delivery,2023-06-21,"7,5",,9RMSz3WXxOJBhcHJsiq0,,5t46Gd1zwnLUIjhUGPcw,,5t46Gd1zwnLUIjhUGPcw,,TRUE
HV7thzYTDaVOKbE1RJpv,PO-000001,2024-06-17,2022-03-29,,,10,138,138,cancelledByVendor,delivery,2022-04-03,,,9RMSz3WXxOJBhcHJsiq0,,G58WhpsgYj8zGM0iqGlK,,,,FALSE
Heida2Tf2YkBS9nC7YuS,PO-000001,2024-06-17,2021-05-29,,,4,"70,17","70,17",cancelledByVendor,delivery,2021-06-02,,,1QEz84NbcXp0r7dHxH59,,,,,,FALSE
Hopo9smYgLjSg0JfxZzs,PO230620-4184,2024-06-17,2023-07-05,,,1,85,85,cancelledByVendor,delivery,2023-06-21,15,,EdMFd8C4VuiQVRH7YPvk,,ej7DzHTvjLhlzv9frJ1P,,ej7DzHTvjLhlzv9frJ1P,,TRUE
ISPKsRGqe5OgzL6UwD04,PO220921-3008,2024-06-17,2022-10-21,,,4,150,150,cancelledByVendor,delivery,2022-09-29,0,,WcFItrYB1u7l8TbljPxx,,LKcIpGMiK6kvzXPRnFFx,,WcFItrYB1u7l8TbljPxx,,TRUE
IyookwoVy6fbyrWdJS8i,PO230828-2936,2024-06-17,2023-09-12,,,1,96,96,cancelledByVendor,delivery,2023-08-30,,,9RMSz3WXxOJBhcHJsiq0,,xeq84PuiWTOQsWnysY92,,xeq84PuiWTOQsWnysY92,,TRUE
KF7BYfVzsFvrRiLm1aOH,PO-000002,2024-06-17,2022-03-11,,,3,444,"445,5",cancelledByVendor,delivery,2022-03-08,0,,YiTuoGRDj4cC9OsT0jii,,,,,,FALSE
KQMhEit49AWLqXmRtpPm,PO231204-6928,2024-06-17,2023-12-09,,,3,"221,25","221,25",cancelledByVendor,delivery,2023-11-11,0,,0YqogYyZYUbd5M4JMbzL,,,,0YqogYyZYUbd5M4JMbzL,,TRUE
KxuXV74ubk3c1dh9Vbgp,PO-000155,2024-06-17,2021-10-16,,,4,"167,5","167,5",cancelledByCustomer,delivery,2021-09-23,,,2fnE1XiuRG39yBo7yB9S,,,,,,FALSE
